price,types,address,latitude,longitude,date,beds,baths,sq.,bath,reception,receptions,bed,total_Beds,total_Baths,total_Receptions,FlatType,index
799999,Studio for sale ,"Grosvenor Avenue, London N5",51.549498,-0.088656,9/2/2021,0,0,0,0,0,0,0,0,0,0,Studio,82
1300000,2 bed flat for sale ,"Crown Lodge, Elystan Street SW3",51.491753,-0.167764,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,83
999950,5 bed terraced house for sale ,"Boaters Avenue, Brentford TW8",51.484084,-0.313679,9/2/2021,5,3,0,0,1,0,0,5,3,1,terraced house,84
425000,1 bed flat for sale ,"Hazellville Road, London N19",51.573007,-0.130877,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,85
1200000,3 bed flat for sale ,"Arkwright Road, Hampstead, London NW3",51.551182,-0.182022,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,86
148000,Studio for sale ,"Caledonian Road, Islington, London N1",51.540143,-0.116676,9/2/2021,0,0,0,1,1,0,0,0,1,1,Studio,87
625000,4 bed semi-detached house for sale ,"Barmor Close, Harrow HA2",51.600647,-0.356902,9/2/2021,4,0,0,1,0,2,0,4,1,2,semi-detached house,88
3e+06,7 bed semi-detached house for sale ,"Lessar Avenue, London SW4",51.454724,-0.143885,9/2/2021,7,0,"3,488",0,0,0,0,7,0,0,semi-detached house,89
575000,3 bed end terrace house for sale ,"Chatsworth Avenue, Wembley HA9",51.552363,-0.286643,9/2/2021,3,0,0,1,0,2,0,3,1,2,end terrace house,90
8e+05,4 bed terraced house for sale ,"Laburnum Road, London SW19",51.417272,-0.183529,9/2/2021,4,2,0,0,0,2,0,4,2,2,terraced house,91
1100000,1 bed flat for sale ,"Gloucester Walk, London W8",51.504808,-0.194848,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,92
399950,2 bed maisonette for sale ,"Henley Close, Isleworth TW7",51.476013,-0.335432,9/2/2021,2,0,0,1,1,0,0,2,1,1,maisonette,93
475000,3 bed end terrace house for sale ,"Waddon Road, Croydon, Surrey CR0",51.371244,-0.116161,9/2/2021,3,0,0,1,0,2,0,3,1,2,end terrace house,94
550000,3 bed semi-detached house for sale ,"Hook Road, Epsom KT19",51.342006,-0.26921,9/2/2021,3,2,0,0,0,2,0,3,2,2,semi-detached house,95
3e+05,3 bed terraced house for sale ,"101 Halstead Road, Winchmore Hill, London N21",51.631042,-0.087818,9/2/2021,3,0,0,0,0,0,0,3,0,0,terraced house,96
450000,4 bed terraced house for sale ,"Rugby Road, Dagenham RM9",51.540004,0.118721,9/2/2021,4,0,0,1,1,0,0,4,1,1,terraced house,97
340000,1 bed flat for sale ,"Derbyshire Street, London E2",51.526687,-0.061538,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,98
370000,1 bed flat for sale ,"Coutts Crescent, St. Albans Road, London NW5",51.547725,-0.153693,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,99
385000,1 bed flat for sale ,"Whitestile Road, Brentford TW8",51.494207,-0.305826,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,100
0,3 bed flat for sale ,"City Road, London EC1V",51.529985,-0.097296878,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,101
625000,3 bed semi-detached house for sale ,"St. Stephen's Road, Hounslow, Semi-Detached House TW3",51.45907,-0.368339,9/2/2021,3,2,0,0,0,2,0,3,2,2,semi-detached house,102
724950,6 bed end terrace house for sale ,"Bedser Drive, Greenford / Sudbury Hill Borders UB6",51.555078,-0.344985,9/2/2021,6,3,0,0,1,0,0,6,3,1,end terrace house,103
240000,2 bed flat for sale ,"Strongbow Crescent, London SE9",51.454498,0.053124,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,104
6e+05,1 bed flat for sale ,"Marchmont Street, London WC1N",51.525814,-0.125405,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,105
785000,3 bed property for sale ,"Olinda Road, London N16",51.57579,-0.068282,9/2/2021,3,0,0,1,1,0,0,3,1,1,property,106
375000,4 bed maisonette for sale ,"Lindley Estate, London SE15",51.479025,-0.068847,9/2/2021,4,0,0,1,1,0,0,4,1,1,maisonette,107
650000,2 bed flat for sale ,"Gunnersbury Avenue, Ealing W5",51.507506,-0.290914,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,108
295000,2 bed flat for sale ,"Croydon Road, Beckenham BR3",51.405766,-0.03343,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,109
650000,3 bed detached house for sale ,"Craigerne Road, London SE3",51.478238,0.023647,9/2/2021,3,2,0,0,1,0,0,3,2,1,detached house,110
6e+05,5 bed terraced house for sale ,"Green Lane, Ilford IG3",51.56195,0.102978,9/2/2021,5,3,0,0,0,3,0,5,3,3,terraced house,111
4200000,3 bed flat for sale ,"Warrington Crescent, London W9",51.52548,-0.183815,9/2/2021,3,3,"2,027",0,1,0,0,3,3,1,flat,112
550000,2 bed property for sale ,"Winslow Close, Eastcote, Pinner HA5",51.581638,-0.400217,9/2/2021,2,2,0,0,1,0,0,2,2,1,property,113
4e+05,3 bed terraced house for sale ,"Elizabeth Ride, Edmonton N9",51.635082,-0.051799,9/2/2021,3,0,0,1,0,2,0,3,1,2,terraced house,114
850000,4 bed detached house for sale ,"Douglas Road, Surbiton KT6",51.3787,-0.295771,9/2/2021,4,2,0,0,0,2,0,4,2,2,detached house,115
550000,2 bed flat for sale ,"Manor Park, London SE13",51.45706,-0.001487,9/2/2021,2,0,817,1,0,0,0,2,1,0,flat,116
520000,1 bed flat for sale ,"Broadhurst Gardens, South Hampstead NW6",51.546661,-0.18213,9/2/2021,0,0,527,1,1,0,1,1,1,1,flat,117
225000,1 bed flat for sale ,"Longbridge Road, Barking IG11",51.549028,0.102916,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,118
270000,2 bed flat for sale ,"Ashford Road, Feltham TW13",51.437648,-0.424697,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,119
1850000,3 bed maisonette for sale ,"Crediton Hill, West Hampstead, London NW6",51.550327,-0.188446,9/2/2021,3,2,"1,502",0,1,0,0,3,2,1,maisonette,120
425000,1 bed flat for sale ,"Plumbers Row, London E1",51.515701,-0.065826,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,121
450000,3 bed maisonette for sale ,"Coldharbour Lane, London SW9",51.465698,-0.102489,9/2/2021,3,0,"1,036",1,1,0,0,3,1,1,maisonette,122
4e+05,2 bed maisonette for sale ,"Welbeck Road, Barnet, Hertfordshire EN4",51.642379,-0.165602,9/2/2021,2,0,0,1,1,0,0,2,1,1,maisonette,123
350000,1 bed flat for sale ,"Shirland Road, Maida Vale, London W9",51.527084,-0.195585,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,124
350000,2 bed flat for sale ,"High Street Colliers Wood, Colliers Wood, London SW19",51.422851,-0.173546,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,125
4e+05,3 bed flat for sale ,"Maud Road, London E13",51.533531,0.017083,9/2/2021,3,2,0,0,1,0,0,3,2,1,flat,126
710000,2 bed flat for sale ,"Beechcroft House, Park View Road, Ealing W5",51.522084,-0.295659,9/2/2021,2,2,962,0,1,0,0,2,2,1,flat,127
525000,1 bed flat for sale ,"Brompton Park Crescent, London SW6",51.483061,-0.193283,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,128
6e+05,3 bed end terrace house for sale ,"Mayfield Road, Walthamstow, London E17",51.595262,-0.037179,9/2/2021,3,0,0,1,0,2,0,3,1,2,end terrace house,129
1750000,4 bed detached house for sale ,"Burrard Road, London NW6",51.554775,-0.194397,9/2/2021,4,2,0,0,0,2,0,4,2,2,detached house,130
650000,4 bed terraced house for sale ,"Middleton Gardens, Ilford IG2",51.573435,0.073577,9/2/2021,4,0,0,1,0,2,0,4,1,2,terraced house,131
4e+05,2 bed terraced house for sale ,"St. Anselms Road, Hayes UB3",51.506222,-0.420512,9/2/2021,2,0,0,1,1,0,0,2,1,1,terraced house,132
6e+05,2 bed flat for sale ,"Commercial Road, London E1",51.51507,-0.06667,9/2/2021,2,2,0,0,1,0,0,2,2,1,flat,133
550000,3 bed property for sale ,"North Street, Carshalton SM5",51.370376,-0.166429,9/2/2021,3,2,0,0,0,2,0,3,2,2,property,134
3950000,5 bed detached house for sale ,"Park Avenue, Farnborough, Orpington BR6",51.37009,0.05203,9/2/2021,5,3,0,0,0,7,0,5,3,7,detached house,135
1320000,4 bed terraced house for sale ,"Coval Road, London SW14",51.462989,-0.273374,9/2/2021,4,2,0,0,1,0,0,4,2,1,terraced house,136
475000,2 bed flat for sale ,"Bancroft Road, London E1",51.525863,-0.044955,9/2/2021,2,0,852,1,1,0,0,2,1,1,flat,137
350000,1 bed flat for sale ,"Gilmore Road, London SE13",51.45949,-0.004807,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,138
4e+05,3 bed terraced house for sale ,"Cecil Road, Croydon, Surrey CR0",51.38728,-0.123435,9/2/2021,3,0,0,1,0,2,0,3,1,2,terraced house,139
320000,2 bed flat for sale ,"Seymour Road, Mitcham Junction, Mitcham CR4",51.383796,-0.159673,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,140
450000,3 bed semi-detached house for sale ,"Cambridge Road, Penge SE20, London",51.402267,-0.065086,9/2/2021,3,0,0,1,1,0,0,3,1,1,semi-detached house,141
5850000,3 bed flat for sale ,"York Terrace West, Regents Park, London NW1",51.523519,-0.15428,9/2/2021,3,3,0,0,1,0,0,3,3,1,flat,142
375000,2 bed flat for sale ,"Meadowview, Ham, Richmond TW10",51.435967,-0.320192,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,143
475000,2 bed end terrace house for sale ,"Washington Road, Worcester Park KT4",51.381358,-0.237921,9/2/2021,2,0,0,1,0,2,0,2,1,2,end terrace house,144
525000,1 bed flat for sale ,"Elm Bank Mansions, The Terrace, Barnes SW13",51.472049,-0.253513,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,145
525000,1 bed flat for sale ,"Palladian Gardens, London W4",51.486424,-0.255182,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,146
460000,2 bed flat for sale ,"Chiswick High Road, London W4",51.490654,-0.284035,9/2/2021,2,0,0,1,1,0,0,2,1,1,flat,147
6e+05,4 bed property for sale ,"Becket Close, Woodford Green IG8",51.59912,0.054454,9/2/2021,4,3,0,0,1,0,0,4,3,1,property,148
4e+05,1 bed flat for sale ,"121 East Ferry Road, London E14",51.496372,-0.013973,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,149
375000,1 bed flat for sale ,"Henfield Road, London SW19",51.412308,-0.208848,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,150
350000,1 bed flat for sale ,"Hamlet Gardens, London W6",51.494013,-0.241487,9/2/2021,0,0,0,1,1,0,1,1,1,1,flat,151
